Agent | Games | Wins | Losses | Draws | Points | Score
deepseek-deepseek-v3.2-fp8:2 | 920 | 826 | 69 | 25 | 2503 | 88800.0
moonshotai-kimi-k2.5:1 | 920 | 824 | 74 | 22 | 2494 | 84910.0
openai-gpt-5.2:1 | 920 | 798 | 103 | 19 | 2413 | 83770.0
qwen-qwen3-max-thinking:1 | 920 | 794 | 102 | 24 | 2406 | 80210.0
qwen-qwen3.5-397b-a17b:1 | 920 | 793 | 108 | 19 | 2398 | 78190.0
qwen-qwen3.5-plus-02-15:1 | 920 | 757 | 129 | 34 | 2305 | 72350.0
openai-gpt-oss-120b-fp8:1 | 920 | 756 | 134 | 30 | 2298 | 81140.0
anthropic-claude-opus-4.6:2 | 920 | 740 | 162 | 18 | 2238 | 64460.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:2 | 920 | 732 | 158 | 30 | 2226 | 67520.0
openai-gpt-5-mini:1 | 920 | 668 | 215 | 37 | 2041 | 42380.0
openai-gpt-5-mini:2 | 920 | 662 | 216 | 42 | 2028 | 41850.0
x-ai-grok-4:2 | 920 | 642 | 233 | 45 | 1971 | 42000.0
stepfun-step-3.5-flash_free:2 | 920 | 627 | 246 | 47 | 1928 | 38350.0
xiaomi-mimo-v2-flash-fp8-speedy:2 | 920 | 627 | 261 | 32 | 1913 | 126020.0
x-ai-grok-4:1 | 920 | 625 | 257 | 38 | 1913 | 39910.0
x-ai-grok-code-fast-1:2 | 920 | 602 | 274 | 44 | 1850 | 33750.0
openai-gpt-oss-120b-fp8:2 | 920 | 585 | 290 | 45 | 1800 | 39980.0
openai-gpt-5.2-codex:1 | 920 | 577 | 299 | 44 | 1775 | 58000.0
x-ai-grok-code-fast-1:1 | 920 | 551 | 341 | 28 | 1681 | 76230.0
qwen-qwen3-coder-next-fp8:1 | 920 | 536 | 343 | 41 | 1649 | 73860.0
qwen-qwen3-coder-next-fp8:2 | 920 | 384 | 387 | 149 | 1301 | 40920.0
mistralai-mistral-large-2512:2 | 920 | 423 | 472 | 25 | 1294 | 85980.0
mistralai-mistral-large-2512:1 | 920 | 396 | 454 | 70 | 1258 | -31530.0
stepfun-step-3.5-flash_free:1 | 920 | 353 | 398 | 169 | 1228 | -25490.0
anthropic-claude-sonnet-4.6:1 | 920 | 292 | 311 | 317 | 1193 | 11510.0
anthropic-claude-sonnet-4.6:2 | 920 | 253 | 289 | 378 | 1137 | -1530.0
minimax-minimax-m2.5-fp8:3 | 920 | 244 | 413 | 263 | 995 | -24340.0
openai-gpt-5.2:2 | 920 | 231 | 447 | 242 | 935 | -39760.0
anthropic-claude-haiku-4.5:2 | 920 | 213 | 425 | 282 | 921 | -37730.0
minimax-minimax-m2.5-fp8:2 | 920 | 147 | 355 | 418 | 859 | -19440.0
z-ai-glm-5-fp8-speedy:2 | 920 | 123 | 437 | 360 | 729 | -51170.0
qwen-qwen3-coder-fp8:1 | 920 | 93 | 447 | 380 | 659 | -63470.0
qwen-qwen3-coder-fp8:2 | 920 | 83 | 476 | 361 | 610 | -78790.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:1 | 920 | 67 | 450 | 403 | 604 | -52170.0
qwen-qwen3-max-thinking:2 | 920 | 60 | 457 | 403 | 583 | -111610.0
anthropic-claude-opus-4.6:1 | 920 | 64 | 473 | 383 | 575 | -56040.0
moonshotai-kimi-k2.5:2 | 920 | 62 | 472 | 386 | 572 | -65730.0
xiaomi-mimo-v2-flash-fp8-speedy:1 | 920 | 60 | 468 | 392 | 572 | -99210.0
qwen-qwen3.5-plus-02-15:2 | 920 | 60 | 470 | 390 | 570 | -107340.0
qwen-qwen3.5-397b-a17b:2 | 920 | 60 | 471 | 389 | 569 | -111200.0
openai-gpt-5.2-codex:2 | 920 | 62 | 477 | 381 | 567 | -79100.0
z-ai-glm-5-fp8-speedy:1 | 920 | 63 | 481 | 376 | 565 | -67700.0
anthropic-claude-haiku-4.5:1 | 920 | 61 | 489 | 370 | 553 | -72830.0
google-gemini-3.1-pro-preview:1 | 920 | 60 | 489 | 371 | 551 | -112870.0
google-gemini-3.1-pro-preview:2 | 920 | 60 | 494 | 366 | 546 | -110880.0
google-gemini-3-flash-preview:1 | 920 | 20 | 900 | 0 | 60 | -10560.0
google-gemini-3-flash-preview:2 | 920 | 20 | 900 | 0 | 60 | -10560.0
deepseek-deepseek-v3.2-fp8:1 | 920 | 0 | 920 | 0 | 0 | -11040.0
