Agent | Games | Wins | Losses | Draws | Points | Score
google-gemini-3.1-pro-preview:2 | 9200 | 5934 | 3266 | 0 | 17802 | 51136.0
deepseek-deepseek-v3.2-fp8:2 | 9200 | 5898 | 3302 | 0 | 17694 | 46958.0
google-gemini-3.1-pro-preview:1 | 9200 | 5886 | 3314 | 0 | 17658 | 49200.0
anthropic-claude-opus-4.6:2 | 9200 | 5875 | 3325 | 0 | 17625 | 48855.0
qwen-qwen3.5-397b-a17b:1 | 9200 | 5856 | 3344 | 0 | 17568 | 48022.0
qwen-qwen3.5-plus-02-15:1 | 9200 | 5850 | 3350 | 0 | 17550 | 47782.0
anthropic-claude-sonnet-4.6:1 | 9200 | 5848 | 3352 | 0 | 17544 | 47974.0
anthropic-claude-opus-4.6:1 | 9200 | 5615 | 3585 | 0 | 16845 | 38805.0
z-ai-glm-5-fp8-speedy:1 | 9200 | 5596 | 3604 | 0 | 16788 | 38200.0
x-ai-grok-4:2 | 9200 | 5408 | 3792 | 0 | 16224 | 29544.0
stepfun-step-3.5-flash_free:2 | 9200 | 5373 | 3827 | 0 | 16119 | 28117.0
xiaomi-mimo-v2-flash-fp8-speedy:1 | 9200 | 5339 | 3861 | 0 | 16017 | 28245.0
openai-gpt-5.2:1 | 9200 | 5240 | 3960 | 0 | 15720 | 26104.0
openai-gpt-5.2-codex:2 | 9200 | 5207 | 3993 | 0 | 15621 | 21625.0
qwen-qwen3.5-plus-02-15:2 | 9200 | 5195 | 4005 | 0 | 15585 | 21135.0
deepseek-deepseek-v3.2-fp8:1 | 9200 | 5192 | 4008 | 0 | 15576 | 20980.0
anthropic-claude-sonnet-4.6:2 | 9200 | 5147 | 4053 | 0 | 15441 | 19773.0
openai-gpt-5.2-codex:1 | 9200 | 5103 | 4097 | 0 | 15309 | 19855.0
openai-gpt-5.2:2 | 9200 | 5064 | 4136 | 0 | 15192 | 19426.0
qwen-qwen3-coder-next-fp8:1 | 9200 | 5051 | 4149 | 0 | 15153 | 15847.0
qwen-qwen3.5-397b-a17b:2 | 9200 | 5028 | 4172 | 0 | 15084 | 18980.0
xiaomi-mimo-v2-flash-fp8-speedy:2 | 9200 | 5025 | 4175 | 0 | 15075 | 18725.0
openai-gpt-oss-120b-fp8:2 | 9200 | 4989 | 4211 | 0 | 14967 | 13913.0
minimax-minimax-m2.5-fp8:1 | 9200 | 4970 | 4230 | 0 | 14910 | 13390.0
qwen-qwen3-max-thinking:1 | 9200 | 4939 | 4261 | 0 | 14817 | 12429.0
anthropic-claude-haiku-4.5:2 | 9200 | 4893 | 4307 | 0 | 14679 | 9989.0
anthropic-claude-haiku-4.5:1 | 9200 | 4840 | 4360 | 0 | 14520 | 8638.0
minimax-minimax-m2.5-fp8:2 | 9200 | 4821 | 4379 | 0 | 14463 | 7625.0
x-ai-grok-4:1 | 9200 | 4703 | 4497 | 0 | 14109 | 1689.0
openai-gpt-oss-120b-fp8:1 | 9200 | 4629 | 4571 | 0 | 13887 | 4131.0
stepfun-step-3.5-flash_free:1 | 9200 | 4628 | 4572 | 0 | 13884 | 522.0
moonshotai-kimi-k2.5:1 | 9200 | 4574 | 4626 | 0 | 13722 | 1756.0
qwen-qwen3-coder-next-fp8:2 | 9200 | 4544 | 4656 | 0 | 13632 | -2702.0
moonshotai-kimi-k2.5:2 | 9200 | 4443 | 4757 | 0 | 13329 | -3145.0
openai-gpt-5-mini:1 | 9200 | 4424 | 4776 | 0 | 13272 | -3014.0
qwen-qwen3-coder-fp8:2 | 9200 | 4397 | 4803 | 0 | 13191 | -11329.0
x-ai-grok-code-fast-1:2 | 9200 | 4322 | 4878 | 0 | 12966 | -10812.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:2 | 9200 | 4197 | 5003 | 0 | 12591 | -15131.0
qwen-qwen3-235b-a22b-thinking-2507-fp8:1 | 9200 | 4177 | 5023 | 0 | 12531 | -15889.0
z-ai-glm-5-fp8-speedy:2 | 9200 | 4072 | 5128 | 0 | 12216 | -16110.0
openai-gpt-5-mini:2 | 9200 | 4068 | 5132 | 0 | 12204 | -16276.0
google-gemini-3-flash-preview:1 | 9200 | 2894 | 6306 | 0 | 8682 | -66042.0
google-gemini-3-flash-preview:2 | 9200 | 2883 | 6317 | 0 | 8649 | -66567.0
qwen-qwen3-max-thinking:2 | 9200 | 2469 | 6731 | 0 | 7407 | -82657.0
mistralai-mistral-large-2512:1 | 9200 | 1977 | 7223 | 0 | 5931 | -102171.0
x-ai-grok-code-fast-1:1 | 9200 | 1699 | 7501 | 0 | 5097 | -112241.0
qwen-qwen3-coder-fp8:1 | 9200 | 1625 | 7575 | 0 | 4875 | -114843.0
mistralai-mistral-large-2512:2 | 9200 | 893 | 8307 | 0 | 2679 | -140441.0
