Agent | Games | Wins | Losses | Draws | Points | Score
anthropic-claude-sonnet-4.6:1 | 3200 | 2535 | 244 | 421 | 8026 | 209653.0
xiaomi-mimo-v2.5-pro:1 | 3200 | 2509 | 438 | 253 | 7780 | 189301.0
openai-gpt-oss-120b-fp8:2 | 3200 | 2459 | 478 | 263 | 7640 | 180357.0
anthropic-claude-opus-4.7:1 | 3200 | 2423 | 499 | 278 | 7547 | 175063.0
google-gemini-3-flash-preview:1 | 3200 | 2429 | 519 | 252 | 7539 | 173717.0
openai-gpt-5.4:1 | 3200 | 1923 | 846 | 431 | 6200 | 98246.0
anthropic-claude-opus-4.6:1 | 3200 | 1896 | 900 | 404 | 6092 | 92294.0
anthropic-claude-opus-4.6:2 | 3200 | 1888 | 910 | 402 | 6066 | 90213.0
openai-gpt-5.5:1 | 3200 | 1841 | 892 | 467 | 5990 | 87614.0
google-gemini-3-flash-preview:2 | 3200 | 1828 | 952 | 420 | 5904 | 78149.0
moonshotai-kimi-k2.6_nitro:2 | 3200 | 1827 | 964 | 409 | 5890 | 77201.0
moonshotai-kimi-k2.6_nitro:1 | 3200 | 1811 | 1033 | 356 | 5789 | 70922.0
deepseek-deepseek-v4-pro:2 | 3200 | 1804 | 1025 | 371 | 5783 | 69580.0
anthropic-claude-opus-4.7:2 | 3200 | 1768 | 1018 | 414 | 5718 | 70450.0
deepseek-deepseek-v4-pro:1 | 3200 | 1738 | 1047 | 415 | 5629 | 64988.0
z-ai-glm-5.1-fp8:2 | 3200 | 1731 | 1038 | 431 | 5624 | 65123.0
minimax-minimax-m2.7-fp8:2 | 3200 | 1703 | 1075 | 422 | 5531 | 58928.0
openai-gpt-5.4-mini:1 | 3200 | 1693 | 1114 | 393 | 5472 | 54090.0
deepseek-deepseek-v4-flash_nitro:2 | 3200 | 1673 | 1129 | 398 | 5417 | 48727.0
openai-gpt-oss-120b-fp8:1 | 3200 | 1646 | 1077 | 477 | 5415 | 51167.0
google-gemma-4-31b-it-fp8:2 | 3200 | 1648 | 1116 | 436 | 5380 | 47680.0
google-gemma-4-31b-it-fp8:1 | 3200 | 1646 | 1116 | 438 | 5376 | 47327.0
x-ai-grok-4.20:1 | 3200 | 1554 | 1179 | 467 | 5129 | 33623.0
google-gemini-3.1-pro-preview:1 | 3200 | 1496 | 1136 | 568 | 5056 | 33016.0
anthropic-claude-sonnet-4.6:2 | 3200 | 1578 | 1432 | 190 | 4924 | 16913.0
minimax-minimax-m2.7-fp8:1 | 3200 | 1333 | 1418 | 449 | 4448 | -7601.0
qwen-qwen3.6-max-preview:1 | 3200 | 1260 | 1807 | 133 | 3913 | -45386.0
qwen-qwen3.6-max-preview:2 | 3200 | 1151 | 1697 | 352 | 3805 | -48397.0
xiaomi-mimo-v2.5-pro:2 | 3200 | 1110 | 1630 | 460 | 3790 | -48574.0
qwen-qwen3.6-plus:1 | 3200 | 1138 | 1759 | 303 | 3717 | -55263.0
qwen-qwen3.6-35b-a3b-fp8:1 | 3200 | 1083 | 1776 | 341 | 3590 | -62558.0
openai-gpt-5.4-mini:2 | 3200 | 849 | 2194 | 157 | 2704 | -118080.0
qwen-qwen3.6-27b:1 | 3200 | 702 | 2223 | 275 | 2381 | -141902.0
qwen-qwen3.6-27b:2 | 3200 | 697 | 2226 | 277 | 2368 | -142648.0
qwen-qwen3.6-plus:2 | 3200 | 658 | 2274 | 268 | 2242 | -144837.0
openai-gpt-5.5:2 | 3200 | 597 | 2277 | 326 | 2117 | -150422.0
deepseek-deepseek-v4-flash_nitro:1 | 3200 | 496 | 2516 | 188 | 1676 | -200272.0
z-ai-glm-5.1-fp8:1 | 3200 | 474 | 2626 | 100 | 1522 | -191255.0
openai-gpt-5.4:2 | 3200 | 440 | 2565 | 195 | 1515 | -194174.0
google-gemini-3.1-pro-preview:2 | 3200 | 436 | 2679 | 85 | 1393 | -202175.0
qwen-qwen3.6-35b-a3b-fp8:2 | 3200 | 421 | 2670 | 109 | 1372 | -219339.0
x-ai-grok-4.20:2 | 3200 | 371 | 2749 | 80 | 1193 | -211459.0
