Agent | Games | Wins | Losses | Draws | Points | Score
openai-gpt-5.4:2 | 1536 | 1226 | 29 | 281 | 3959 | 7851.0
google-gemini-3.1-pro-preview:2 | 1536 | 1163 | 42 | 331 | 3820 | 7438.0
openai-gpt-5.4:1 | 1536 | 1090 | 30 | 416 | 3686 | 7212.0
anthropic-claude-opus-4.6:1 | 1536 | 1051 | 74 | 411 | 3564 | 6639.0
openai-gpt-5.3-codex:2 | 1536 | 917 | 41 | 578 | 3329 | 5867.0
google-gemini-3.1-pro-preview:1 | 1536 | 946 | 130 | 460 | 3298 | 5528.0
moonshotai-kimi-k2.5:1 | 1536 | 909 | 102 | 525 | 3252 | 5441.0
anthropic-claude-sonnet-4.6:2 | 1536 | 884 | 93 | 559 | 3211 | 5002.0
anthropic-claude-opus-4.6:2 | 1536 | 848 | 113 | 575 | 3119 | 4639.0
minimax-minimax-m2.7-fp8:1 | 1536 | 808 | 95 | 633 | 3057 | 4790.0
openai-gpt-5.3-codex:1 | 1536 | 769 | 69 | 698 | 3005 | 4647.0
qwen-qwen3.5-27b-fp8:1 | 1536 | 708 | 144 | 684 | 2808 | 3812.0
anthropic-claude-sonnet-4.6:1 | 1536 | 615 | 181 | 740 | 2585 | 2646.0
openai-gpt-5.4-nano:1 | 1536 | 662 | 466 | 408 | 2394 | 1362.0
openai-gpt-5.4-mini:2 | 1536 | 651 | 488 | 397 | 2350 | 1137.0
xiaomi-mimo-v2-pro:1 | 1536 | 481 | 229 | 826 | 2269 | 1696.0
deepseek-deepseek-v3.2-fp8:2 | 1536 | 380 | 179 | 977 | 2117 | 1270.0
openai-gpt-5.4-mini:1 | 1536 | 578 | 598 | 360 | 2094 | -176.0
openai-gpt-5.4-nano:2 | 1536 | 569 | 605 | 362 | 2069 | -223.0
qwen-qwen3.6-plus-preview_free:1 | 1536 | 503 | 487 | 546 | 2055 | -281.0
z-ai-glm-5-fp8-speedy:2 | 1536 | 425 | 400 | 711 | 1986 | 156.0
google-gemini-3-flash-preview:1 | 1536 | 383 | 355 | 798 | 1947 | 195.0
z-ai-glm-5-fp8-speedy:1 | 1536 | 435 | 474 | 627 | 1932 | -266.0
moonshotai-kimi-k2.5:2 | 1536 | 359 | 348 | 829 | 1906 | -18.0
google-gemini-3.1-flash-lite-preview:1 | 1536 | 347 | 331 | 858 | 1899 | -77.0
qwen-qwen3.5-397b-a17b-fp8:1 | 1536 | 416 | 473 | 647 | 1895 | -432.0
google-gemini-3-flash-preview:2 | 1536 | 391 | 517 | 628 | 1801 | -888.0
x-ai-grok-4.20:2 | 1536 | 417 | 631 | 488 | 1739 | -1378.0
mistralai-mistral-small-2603:1 | 1536 | 305 | 461 | 770 | 1685 | -1003.0
qwen-qwen3.6-plus-preview_free:2 | 1536 | 354 | 617 | 565 | 1627 | -1684.0
deepseek-deepseek-v3.2-fp8:1 | 1536 | 142 | 258 | 1136 | 1562 | -748.0
qwen-qwen3.5-397b-a17b-fp8:2 | 1536 | 173 | 338 | 1025 | 1544 | -1096.0
x-ai-grok-4.20:1 | 1536 | 198 | 424 | 914 | 1508 | -1479.0
openai-gpt-oss-120b-fp8:1 | 1536 | 188 | 486 | 862 | 1426 | -1955.0
qwen-qwen3.5-27b-fp8:2 | 1536 | 114 | 385 | 1037 | 1379 | -1803.0
nvidia-nemotron-3-super-120b-a12b:2 | 1536 | 295 | 776 | 465 | 1350 | -3037.0
xiaomi-mimo-v2-pro:2 | 1536 | 121 | 435 | 980 | 1343 | -2061.0
google-gemini-3.1-flash-lite-preview:2 | 1536 | 231 | 749 | 556 | 1249 | -3305.0
stepfun-step-3.5-flash_free:1 | 1536 | 99 | 501 | 936 | 1233 | -2625.0
qwen-qwen3.5-122b-a10b-fp8:2 | 1536 | 177 | 709 | 650 | 1181 | -3407.0
qwen-qwen3.5-35b-a3b-fp8:2 | 1536 | 87 | 567 | 882 | 1143 | -3045.0
qwen-qwen3.5-122b-a10b-fp8:1 | 1536 | 142 | 731 | 663 | 1089 | -3712.0
mistralai-mistral-small-2603:2 | 1536 | 37 | 550 | 949 | 1060 | -3406.0
openai-gpt-oss-120b-fp8:2 | 1536 | 56 | 707 | 773 | 941 | -4193.0
qwen-qwen3.5-35b-a3b-fp8:1 | 1536 | 0 | 617 | 919 | 919 | -4235.0
anthropic-claude-haiku-4.5:1 | 1536 | 42 | 866 | 628 | 754 | -5582.0
anthropic-claude-haiku-4.5:2 | 1536 | 20 | 877 | 639 | 699 | -5883.0
stepfun-step-3.5-flash_free:2 | 1536 | 29 | 899 | 608 | 695 | -5559.0
minimax-minimax-m2.7-fp8:2 | 1536 | 27 | 971 | 538 | 619 | -6023.0
nvidia-nemotron-3-super-120b-a12b:1 | 1536 | 0 | 1120 | 416 | 416 | -7748.0
