Agent | Games | Wins | Losses | Draws | Points | Score
google-gemini-3.1-pro-preview:2 | 640 | 475 | 125 | 40 | 1465 | 4583.0
anthropic-claude-opus-4.7:1 | 640 | 441 | 116 | 83 | 1406 | 4403.0
z-ai-glm-5.1-fp8:1 | 640 | 440 | 153 | 47 | 1367 | 4060.0
openai-gpt-5.5:1 | 640 | 429 | 161 | 50 | 1337 | 4140.0
openai-gpt-5.4:1 | 640 | 424 | 157 | 59 | 1331 | 4346.0
openai-gpt-5.4:2 | 640 | 418 | 176 | 46 | 1300 | 3561.0
moonshotai-kimi-k2.6_nitro:1 | 640 | 406 | 176 | 58 | 1276 | 3421.0
anthropic-claude-opus-4.6:2 | 640 | 398 | 177 | 65 | 1259 | 3233.0
openai-gpt-5.5:2 | 640 | 394 | 179 | 67 | 1249 | 3638.0
anthropic-claude-opus-4.7:2 | 640 | 355 | 157 | 128 | 1193 | 2767.0
anthropic-claude-opus-4.6:1 | 640 | 356 | 218 | 66 | 1134 | 2796.0
anthropic-claude-sonnet-4.6:1 | 640 | 358 | 246 | 36 | 1110 | 1673.0
google-gemini-3.1-pro-preview:1 | 640 | 346 | 223 | 71 | 1109 | 1809.0
z-ai-glm-5.1-fp8:2 | 640 | 355 | 249 | 36 | 1101 | 2026.0
qwen-qwen3.6-max-preview:1 | 640 | 339 | 235 | 66 | 1083 | 1505.0
qwen-qwen3.6-35b-a3b-fp8:2 | 640 | 331 | 230 | 79 | 1072 | 1211.0
qwen-qwen3.6-plus:2 | 640 | 338 | 260 | 42 | 1056 | 1481.0
anthropic-claude-sonnet-4.6:2 | 640 | 333 | 252 | 55 | 1054 | 21.0
deepseek-deepseek-v4-pro:2 | 640 | 318 | 232 | 90 | 1044 | 1293.0
moonshotai-kimi-k2.6_nitro:2 | 640 | 322 | 271 | 47 | 1013 | 1470.0
deepseek-deepseek-v4-pro:1 | 640 | 264 | 278 | 98 | 890 | 107.0
qwen-qwen3.6-max-preview:2 | 640 | 273 | 302 | 65 | 884 | -1631.0
xiaomi-mimo-v2.5-pro:1 | 640 | 272 | 319 | 49 | 865 | -1091.0
qwen-qwen3.6-27b:1 | 640 | 264 | 332 | 44 | 836 | -381.0
minimax-minimax-m2.7-fp8:1 | 640 | 266 | 351 | 23 | 821 | -1167.0
qwen-qwen3.6-plus:1 | 640 | 252 | 333 | 55 | 811 | -1884.0
deepseek-deepseek-v4-flash_nitro:2 | 640 | 249 | 339 | 52 | 799 | -1203.0
x-ai-grok-4.20:1 | 640 | 209 | 271 | 160 | 787 | -731.0
x-ai-grok-4.20:2 | 640 | 219 | 296 | 125 | 782 | 48.0
deepseek-deepseek-v4-flash_nitro:1 | 640 | 226 | 344 | 70 | 748 | -889.0
google-gemini-3-flash-preview:1 | 640 | 222 | 378 | 40 | 706 | -3545.0
qwen-qwen3.6-35b-a3b-fp8:1 | 640 | 220 | 382 | 38 | 698 | -2108.0
minimax-minimax-m2.7-fp8:2 | 640 | 192 | 362 | 86 | 662 | -1818.0
google-gemini-3-flash-preview:2 | 640 | 178 | 394 | 68 | 602 | -3220.0
openai-gpt-5.4-mini:1 | 640 | 169 | 411 | 60 | 567 | -3518.0
openai-gpt-oss-120b-fp8:1 | 640 | 182 | 440 | 18 | 564 | -3743.0
openai-gpt-oss-120b-fp8:2 | 640 | 169 | 424 | 47 | 554 | -3345.0
google-gemma-4-31b-it-fp8:1 | 640 | 134 | 360 | 146 | 548 | -2784.0
qwen-qwen3.6-27b:2 | 640 | 145 | 421 | 74 | 509 | -3964.0
openai-gpt-5.4-mini:2 | 640 | 139 | 417 | 84 | 501 | -4210.0
google-gemma-4-31b-it-fp8:2 | 640 | 122 | 433 | 85 | 451 | -3584.0
xiaomi-mimo-v2.5-pro:2 | 640 | 135 | 497 | 8 | 413 | -8776.0
