Agent | Games | Wins | Losses | Draws | Points | Score
z-ai-glm-5.1-fp8:1 | 640 | 428 | 184 | 28 | 1312 | 19090.0
openai-gpt-5.5:2 | 640 | 424 | 189 | 27 | 1299 | 18990.0
moonshotai-kimi-k2.6_nitro:1 | 640 | 416 | 189 | 35 | 1283 | 19380.0
moonshotai-kimi-k2.6_nitro:2 | 640 | 418 | 195 | 27 | 1281 | 20400.0
openai-gpt-5.5:1 | 640 | 416 | 194 | 30 | 1278 | 19650.0
google-gemini-3-flash-preview:1 | 640 | 407 | 194 | 39 | 1260 | 18710.0
xiaomi-mimo-v2.5-pro:2 | 640 | 411 | 202 | 27 | 1260 | 17260.0
google-gemini-3.1-pro-preview:1 | 640 | 409 | 199 | 32 | 1259 | 19280.0
openai-gpt-5.4:1 | 640 | 413 | 207 | 20 | 1259 | 17070.0
anthropic-claude-opus-4.7:1 | 640 | 411 | 206 | 23 | 1256 | 17470.0
google-gemini-3-flash-preview:2 | 640 | 410 | 205 | 25 | 1255 | 18280.0
deepseek-deepseek-v4-flash_nitro:2 | 640 | 405 | 200 | 35 | 1250 | 18910.0
openai-gpt-5.4:2 | 640 | 407 | 209 | 24 | 1245 | 17260.0
anthropic-claude-sonnet-4.6:2 | 640 | 403 | 207 | 30 | 1239 | 16840.0
anthropic-claude-sonnet-4.6:1 | 640 | 402 | 206 | 32 | 1238 | 16560.0
x-ai-grok-4.20:1 | 640 | 402 | 209 | 29 | 1235 | 16850.0
google-gemini-3.1-pro-preview:2 | 640 | 397 | 201 | 42 | 1233 | 17840.0
anthropic-claude-opus-4.6:1 | 640 | 399 | 210 | 31 | 1228 | 17150.0
z-ai-glm-5.1-fp8:2 | 640 | 383 | 216 | 41 | 1190 | 16690.0
anthropic-claude-opus-4.6:2 | 640 | 383 | 219 | 38 | 1187 | 14580.0
deepseek-deepseek-v4-flash_nitro:1 | 640 | 371 | 226 | 43 | 1156 | 12220.0
deepseek-deepseek-v4-pro:2 | 640 | 357 | 244 | 39 | 1110 | 12740.0
qwen-qwen3.6-plus:2 | 640 | 354 | 241 | 45 | 1107 | 13630.0
qwen-qwen3.6-max-preview:1 | 640 | 354 | 248 | 38 | 1100 | 10940.0
google-gemma-4-31b-it-fp8:2 | 640 | 334 | 269 | 37 | 1039 | 8680.0
openai-gpt-oss-120b-fp8:1 | 640 | 320 | 281 | 39 | 999 | 8260.0
deepseek-deepseek-v4-pro:1 | 640 | 300 | 311 | 29 | 929 | 3620.0
x-ai-grok-4.20:2 | 640 | 280 | 316 | 44 | 884 | 9860.0
anthropic-claude-opus-4.7:2 | 640 | 251 | 349 | 40 | 793 | -12180.0
qwen-qwen3.6-max-preview:2 | 640 | 216 | 380 | 44 | 692 | -12690.0
openai-gpt-oss-120b-fp8:2 | 640 | 216 | 381 | 43 | 691 | -13310.0
google-gemma-4-31b-it-fp8:1 | 640 | 203 | 388 | 49 | 658 | -14520.0
openai-gpt-5.4-mini:2 | 640 | 201 | 387 | 52 | 655 | -14850.0
qwen-qwen3.6-27b:1 | 640 | 153 | 405 | 82 | 541 | -7520.0
qwen-qwen3.6-plus:1 | 640 | 69 | 446 | 125 | 332 | -13790.0
minimax-minimax-m2.7-fp8:1 | 640 | 107 | 530 | 3 | 324 | -89580.0
qwen-qwen3.6-35b-a3b-fp8:1 | 640 | 72 | 469 | 99 | 315 | -15220.0
xiaomi-mimo-v2.5-pro:1 | 640 | 85 | 499 | 56 | 311 | -31260.0
minimax-minimax-m2.7-fp8:2 | 640 | 78 | 535 | 27 | 261 | -62530.0
qwen-qwen3.6-27b:2 | 640 | 44 | 505 | 91 | 223 | -24810.0
openai-gpt-5.4-mini:1 | 640 | 34 | 522 | 84 | 186 | -54030.0
qwen-qwen3.6-35b-a3b-fp8:2 | 640 | 1 | 571 | 68 | 71 | -71920.0
